# Dynamic Scenario 1 benchmark — scenario=baseline seed=ds1-benchmark lifecycle=ON completed=32/32

## A. 市場別 構造需要 vs 実現対象需要（HOSO換算トン、比=実現/構造）
turn	CN_構造	CN_実現	CN_比	US_構造	US_実現	US_比	EU_構造	EU_実現	EU_比	JP_構造	JP_実現	JP_比	OTHER_構造	OTHER_実現	OTHER_比
1	380000	67553	0.178	320000	41463	0.130	260000	32750	0.126	90000	13072	0.145	150000	20050	0.134
8	432600	99203	0.229	345050	81591	0.236	272950	24276	0.089	98880	8555	0.087	160680	22296	0.139
16	586560	136034	0.232	395200	88908	0.225	301600	7207	0.024	108160	2221	0.021	171600	10857	0.063
20	374400	150334	0.402	300300	87034	0.290	228540	3797	0.017	81900	1066	0.013	218300	7349	0.034
24	728000	153620	0.211	448000	80412	0.179	336000	2226	0.007	118720	557	0.005	244070	4981	0.020
28	665998	171836	0.258	432600	77149	0.178	321360	1162	0.004	113300	257	0.002	206000	3494	0.017
32	672000	184757	0.275	440000	73727	0.168	325000	682	0.002	115000	136	0.001	210000	2537	0.012

## B. 追跡対象セル（構造 / 実現）
指標	系列	T1	T8	T16	T20	T24	T28	T32
Japan total	構造	90000	98880	108160	81900	118720	113300	115000
Japan total	実現	13072	8555	2221	1066	557	257	136
Japan VAP	構造	9000	11170	33990	26208	37990	36256	36800
Japan VAP	実現	1307	2619	659	315	165	76	40
Others PD	構造	30000	34386	39468	74427	87865	74160	75600
Others PD	実現	4411	5199	3015	2205	1502	1056	769
Others VAP	構造	4500	5945	7722	45877	58577	49440	50400
Others VAP	実現	601	1001	879	889	690	482	347
China HOSO	構造	357960	404481	543741	345571	669032	534580	386455
China HOSO	実現	58771	84915	114376	115283	105940	109069	110906
China PD	構造	19000	23144	33727	22277	44772	92128	194829
China PD	実現	8106	12540	19288	32220	44268	51719	55830
China VAP	構造	3040	4975	9092	6552	14196	39290	90716
China VAP	実現	676	1747	2371	2831	3412	11048	18021

## C. 市場ウェイト（実現対象需要の構成比、%）
turn	CN	US	EU	JP	OTHER
1	38.6	23.7	18.7	7.5	11.5
8	42.0	34.6	10.3	3.6	9.5
16	55.5	36.3	2.9	0.9	4.4
20	60.2	34.9	1.5	0.4	2.9
24	63.5	33.3	0.9	0.2	2.1
28	67.7	30.4	0.5	0.1	1.4
32	70.6	28.2	0.3	0.1	1.0

## D. Crowding 診断（市場×商品）
turn	mkt	prod	構造需要	対象需要	5社提示	5社成約	外部供給	供給/需要	実現価格	5社シェア%	最大社/5社%	成約社数	未充足提示
32	OTHER	vap	50400	347	212	212	135	1.00	7.864	61.2	30.4	4	0

## E. 5社 vs 外部供給者（全市場×商品の合計）
turn	対象需要	5社提示	5社成約	外部供給	5社シェア%	外部シェア%
1	174888	76810	64852	110036	37.1	62.9
2	226254	71637	60066	166188	26.5	73.5
3	224783	74924	63825	160958	28.4	71.6
4	234929	80172	72317	162612	30.8	69.2
5	218707	83522	76243	142464	34.9	65.1
6	231654	78768	75098	156556	32.4	67.6
7	235755	64694	62320	173436	26.4	73.6
8	235921	80991	77981	157940	33.1	66.9
9	238842	67200	65776	173066	27.5	72.5
10	238253	81743	80241	158012	33.7	66.3
11	238723	68740	68084	170640	28.5	71.5
12	237007	81743	80872	156135	34.1	65.9
13	245897	68740	68622	177275	27.9	72.1
14	245204	72560	72526	172677	29.6	70.4
15	243827	90106	89865	153962	36.9	63.1
16	245227	77080	77027	168200	31.4	68.6
17	235104	77640	77598	157506	33.0	67.0
18	247783	83754	83754	164028	33.8	66.2
19	251814	85819	85799	166015	34.1	65.9
20	249581	85851	85785	163795	34.4	65.6
21	243295	88006	87998	155297	36.2	63.8
22	241643	94002	94002	147641	38.9	61.1
23	241668	99398	99350	142319	41.1	58.9
24	241796	99695	99608	142187	41.2	58.8
25	256815	99756	99705	157110	38.8	61.2
26	257609	100053	100006	157603	38.8	61.2
27	262284	101030	100996	161288	38.5	61.5
28	253899	104612	104586	149313	41.2	58.8
29	255653	106123	106096	149557	41.5	58.5
30	270249	110756	110756	159494	41.0	59.0
31	260700	110398	110398	150302	42.3	57.7
32	261838	110122	110121	151717	42.1	57.9

## F. 原料・価格（全32ターン）
turn	VN国内価格	VN供給	VN取引量	未売却	VN_FOB	IN_FOB	EC_FOB
1	2.903	450000	371532	78468	4.480	4.200	4.922
2	2.437	451306	346085	105221	4.007	3.831	4.320
3	2.352	452613	370599	82014	3.846	3.667	4.332
4	2.393	453919	365678	88242	3.909	3.635	4.125
5	2.414	455226	375240	79986	3.911	3.750	4.286
6	2.389	456532	357039	99493	3.931	3.784	4.341
7	2.419	457839	382456	75382	3.905	3.718	4.296
8	2.404	459145	371355	87790	3.918	3.832	4.302
9	2.415	460452	373309	87143	3.928	3.823	4.279
10	2.452	461758	369951	91807	3.983	3.793	4.375
11	2.491	463065	368808	94257	4.035	3.786	4.379
12	2.485	464371	372117	92254	4.022	3.910	4.427
13	2.544	465677	368099	97579	4.105	3.949	4.517
14	2.547	466984	370214	96770	4.106	3.872	4.517
15	2.506	468290	379892	88399	4.034	3.880	4.411
16	2.605	469597	377850	91746	4.158	3.873	4.422
17	2.553	470903	375253	95650	4.107	3.969	4.469
18	2.580	472210	385251	86959	4.116	3.988	4.524
19	2.615	473516	388251	85266	4.151	3.953	4.558
20	2.604	474823	387102	87721	4.145	3.963	4.510
21	2.595	476129	385456	90673	4.141	3.903	4.501
22	2.644	477435	387229	90207	4.196	3.919	4.578
23	2.665	478742	389071	89671	4.218	3.918	4.623
24	2.572	480048	387412	92637	4.117	4.011	4.565
25	2.629	481355	395207	86148	4.167	4.015	4.626
26	2.638	482661	395202	87459	4.180	4.147	4.570
27	2.799	483968	401305	82663	4.353	4.045	4.770
28	2.805	485274	393191	92083	4.386	4.098	4.813
29	2.741	486581	393717	92864	4.313	4.237	4.805
30	2.919	487887	407742	80145	4.485	4.235	4.926
31	2.921	489194	401365	87829	4.508	4.269	4.944
32	2.846	490500	404967	85533	4.413	4.355	4.818

## G. 会社別 累計営業利益 / 期末現金 / 期末自己資本 / 累計成約量
company	累計営業利益	期末現金	期末自己資本	累計成約量
BAL	675,646,408	325,638,488	683,637,126	724,036
MASS	-143,014,245	-20,989,321	-66,512,388	143,783
JPQ	602,991,892	354,157,996	590,280,576	668,340
VAP	503,824,626	249,700,598	509,317,733	541,933
CONSV	577,580,791	338,186,071	570,966,308	634,178

## H. 会社×ターン 詳細（全32ターン）
turn	company	成約量	成約単価	履行量	受注残	国内買付	国内買付単価	輸入到着	原料在庫	HOSO生産	PD生産	VAP生産	完成品在庫	原料不足	設備稼働率	労働稼働率	残業率	営業利益	現金	有利子負債	品質(PD)	顧客信頼(平均)
1	BAL	12577	4.960	13313	2364	12855	2.903	0	0	6296	5509	3935	2428	1245	0.618	1.000	0.000	9360563	42685386	50637500	82.3	50.6
1	MASS	14937	4.840	15407	3130	12000	2.903	0	0	10186	4015	2677	1471	1810	0.663	1.000	0.000	4144900	15428251	77750000	82.3	50.6
1	JPQ	12888	4.980	12006	2782	10920	2.903	0	0	4016	6783	2510	1302	4535	0.523	1.000	0.045	7085134	15736400	31300000	82.0	50.6
1	VAP	11244	4.940	8191	4703	8800	2.903	0	0	1032	5091	5091	3023	5800	0.441	1.000	0.012	6919352	20917675	43500000	82.2	50.6
1	CONSV	13207	4.950	13889	717	11957	2.903	0	0	6783	5935	2114	942	1288	0.583	1.000	0.050	8734868	12062691	10420000	82.0	50.6
2	BAL	11103	4.520	13393	74	10707	2.437	0	432	6788	5833	2736	4392	0	0.603	1.000	0.000	5154617	26573085	49137500	80.0	52.7
2	MASS	13952	4.430	11294	5788	5314	2.437	0	0	6549	3274	0	0	8212	0.385	1.000	0.000	-1762051	30241683	75500000	80.4	52.8
2	JPQ	11422	4.550	14204	0	11020	2.437	0	0	6774	6787	1385	2044	1904	0.588	1.000	0.018	9090228	21037166	46558944	79.8	52.7
2	VAP	9764	4.540	12033	2434	7205	2.437	0	0	6780	3832	0	1603	3318	0.417	1.000	0.000	2221192	10748047	42000000	80.3	52.7
2	CONSV	13825	4.520	14210	332	10700	2.437	0	1010	6785	5937	2049	1504	0	0.581	1.000	0.024	8343634	27316427	29023671	79.7	52.7
3	BAL	13259	4.520	13333	0	8562	2.352	2565	2569	6787	5069	2225	5139	0	0.553	1.000	0.000	299277	21805589	47637500	78.2	54.7
3	MASS	16303	4.500	17096	4995	12407	2.352	2822	0	9855	4927	2336	23	552	0.673	1.000	0.000	4282780	10689789	73250000	78.2	54.7
3	JPQ	11524	4.620	11524	0	9465	2.352	2693	1949	6111	4755	3302	4689	0	0.576	1.000	0.000	909281	26449252	51251570	73.1	53.6
3	VAP	10089	4.520	12365	159	5278	2.352	2565	0	6787	3132	1735	893	1341	0.458	1.000	0.000	-3699793	16963741	42616520	78.5	54.7
3	CONSV	12650	4.600	12982	0	10205	2.352	2437	3905	6780	5933	2103	3339	0	0.583	1.000	0.042	2754909	22986407	28623671	77.8	54.6
4	BAL	17923	4.530	17923	0	10230	2.393	2321	3628	9268	5212	1881	3578	0	0.651	1.000	0.000	5464432	13796403	49531971	76.8	56.5
4	MASS	14658	4.560	12084	7569	4545	2.393	2715	0	8041	4020	0	0	5550	0.473	1.000	0.000	-3370519	29414500	71000000	77.0	56.6
4	JPQ	12876	4.690	12876	0	5844	2.393	2547	3245	4902	4903	2393	4011	0	0.479	1.000	0.000	1205710	21481248	50251570	72.6	55.1
4	VAP	12388	4.690	11834	713	7212	2.393	2102	0	6788	3052	2805	1703	1546	0.497	1.000	0.000	3725908	16066349	41116520	77.0	56.5
4	CONSV	14472	4.660	14472	0	8084	2.393	2316	4812	6793	5648	2150	3458	0	0.573	0.981	0.027	6724215	17790356	28370921	76.6	56.5
5	BAL	17783	4.520	17783	0	11775	2.414	2129	4201	10182	5733	2473	4184	0	0.722	0.992	0.013	8154576	8525878	40272655	75.6	57.1
5	MASS	17008	4.550	16762	7816	12293	2.414	2673	0	9441	4704	2616	0	1413	0.658	0.977	0.018	7671811	0	57304718	76.1	58.4
5	JPQ	15372	4.620	15372	0	8298	2.414	2217	3878	5855	6325	2775	3594	0	0.588	1.000	0.000	4673384	7160350	39476371	72.1	56.9
5	VAP	12013	4.680	12726	0	7588	2.414	1963	0	5227	5057	3090	2352	1029	0.526	1.000	0.000	3800591	0	27835368	75.4	58.2
5	CONSV	14068	4.670	14068	0	6607	2.414	2400	4648	6786	5546	1924	3646	0	0.560	1.000	0.000	6354639	28026522	30843380	75.4	58.2
6	BAL	18973	4.600	18973	0	11499	2.389	2504	4789	10182	5839	2452	3684	0	0.726	0.995	0.016	9831733	28671843	58000868	74.7	58.8
6	MASS	14135	4.580	7097	14854	0	2.389	2654	0	3971	1986	1140	0	11181	0.279	1.000	0.000	-8975728	30720988	52424118	75.0	59.7
6	JPQ	16512	4.710	16512	0	5563	2.389	1844	329	6785	6786	2458	3111	0	0.630	1.000	0.000	8969491	20072182	41561841	71.8	58.6
6	VAP	11308	4.830	11099	209	4670	2.389	2144	0	4921	4330	1576	2079	2010	0.425	1.000	0.000	2719504	28218575	45624139	74.5	59.9
6	CONSV	14170	4.730	14170	0	6735	2.389	2302	4530	6651	5708	1883	3718	0	0.560	1.000	0.000	6886081	14267077	11439708	74.5	59.9
